"id","clause","owner_roles","control","evidence_artefact","failure_mode","baseline","full","review_cadence"
"REQ-EVD-002","Evidence artefacts MUST be signed, timestamped, and integrity-checkable.","Operator;Auditor","Artefact signing and timestamping pipeline","Signature chain and timestamp attestations","Non-attributable records","Y","Y","Continuous"
"REQ-TST-001","Release candidates MUST execute Annex E test vectors with recorded pass/fail outcomes.","Operator;Auditor","Conformance test harness","Test execution report with requirement coverage","Untested governance surface","Y","Y","Per release candidate"
"REQ-TST-002","Policy hash mismatch between decision and execution MUST fail closed and raise a dispute trigger.","Operator","Policy hash consistency guard","Hash mismatch alert + denial receipt","Stale-policy execution","Y","Y","Per mismatch event"
"REQ-OBS-001","Observer access class assignment MUST be deterministic over declared function, mandate scope, and conflict state, and ambiguous assignments MUST fail closed to the least-privileged class.","Operator;Trustee","Observer-class assignment gate + least-privilege resolver","Observer class decision record with scope and conflict attestations","Discretionary privilege inflation through ad hoc observer assignment","N","Y","Per observer attachment"
"REQ-RIL-001","Every governed replay request MUST carry a Replay Impact Label (RIL-0..RIL-3) before authorisation decisions are evaluated.","Operator;Trustee","Pre-authorisation impact labelling gate","Signed RIL assignment record linked to request digest","Control intensity chosen without declared impact basis","N","Y","Per replay request"
"REQ-RIL-002","RIL downgrades MUST be reason-coded, independently acknowledged, and logged; silent or unilateral downgrade is prohibited.","Trustee;Reviewer/Arbiter","Impact downgrade approval and audit gate","Downgrade event record with acknowledgement signature and reason code","Convenience downgrading of high-impact replay paths","N","Y","Per downgrade event"
"REQ-SOV-001","Replay governance MUST enforce declared sovereignty budgets for temporal duration, scope expansion, and exceptional intervention count, and budget exhaustion MUST fail closed with auto-suspension pending independent review.","Operator;Trustee","Budget ledger + bound checker + suspension trigger","Budget declaration record, per-case budget ledger digest, and suspension event (if triggered)","Unbounded intervention through fragmented exceptions","N","Y","Per governed case"
"REQ-WTD-001","Warrant transparency digests MUST publish minimum public fields (warrant ID, policy hash, authority basis class, scope/expiry summary, and closure state) on the declared cadence.","Operator;Auditor","Digest publication pipeline + cadence monitor","Published digest entries + cadence compliance report","Non-verifiable warrants or selective disclosure opacity","N","Y","Weekly and per warrant"
"REQ-FRK-001","Fork governance or emancipation actions MUST present evidence-based trigger conditions, quorum validation under recusal constraints, and a continuity pack before execution.","Trustee;Reviewer/Arbiter","Fork trigger validator + quorum/continuity gate","Trigger packet, quorum attestation, and continuity-pack manifest","Opportunistic fork capture or obligation erasure","N","Y","Per fork/emancipation event"
"REQ-DSL-001","Machine-checkable policy snippets used for conformance claims MUST parse under a declared grammar and map fields to cited REQ IDs.","Operator;Auditor","Policy snippet parser + REQ mapping validator","Parser report + snippet-to-REQ mapping manifest","Pseudo-formal policy text that cannot be validated","N","Y","Per policy release"
"REQ-TST-003","Full-profile releases MUST execute an anti-pattern and red-team vector suite covering at least convenience relabelling, scope creep, emergency laundering, and degraded-mode permanence.","Operator;Auditor","Abuse-path vector suite","Vector execution report with fail-closed evidence receipts","Abuse pathways untested in conformance claims","N","Y","Per full-profile release candidate"
"REQ-TST-004","Reference harness runs over identical inputs MUST produce equivalent verdicts and digest-linked artefact sets.","Operator;Auditor","Harness determinism check","Paired run equivalence report and artefact digest comparison","Non-reproducible conformance outcomes","N","Y","Per full-profile release candidate"
